"","yob1.Prop..Rem.","yob1.Num..Rem","yob1.Med..Time"
"Start>methotrexaat>hydroxychloroquine&methotrexaat",0.615384615384615,8,399
"Start>methotrexaat",0.518518518518518,42,185.5
"Start>hydroxychloroquine",0.25,3,68
"Start>tocilizumab",1,1,171
"Start>sulfasalazine",0.6,3,105
"Start>methotrexaat>leflunomide&methotrexaat>methotrexaat>hydroxychloroquine&methotrexaat",1,1,1023
"Start>sulfasalazine>hydroxychloroquine&sulfasalazine>sulfasalazine",1,1,200
"Start>sulfasalazine>adalimumab&methotrexaat&sulfasalazine>adalimumab&methotrexaat",1,1,427
"Start>methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine>hydroxychloroquine&methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine",1,1,483
"Start>methotrexaat>leflunomide&methotrexaat",0.25,1,133
"Start>methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine",0.666666666666667,2,430.5
"Start>methotrexaat>leflunomide&methotrexaat>hydroxychloroquine&leflunomide&methotrexaat>etanercept&hydroxychloroquine&leflunomide&methotrexaat",1,1,755
"Start>hydroxychloroquine>hydroxychloroquine&methotrexaat",0.25,1,318
"Start>methotrexaat>hydroxychloroquine&methotrexaat>methotrexaat>methotrexaat&sulfasalazine>methotrexaat>methotrexaat&tocilizumab>tocilizumab",1,1,501
"Start>methotrexaat>leflunomide&methotrexaat>methotrexaat>methotrexaat&sulfasalazine",1,1,357
"Start>hydroxychloroquine>hydroxychloroquine&methotrexaat>hydroxychloroquine",0.5,1,105
"Start>methotrexaat>hydroxychloroquine&methotrexaat>methotrexaat",0.5,1,908
